,p,dp
0,1.0,800
1,0.99,677
2,0.98,589
3,0.97,538
4,0.96,501
5,0.95,470
6,0.94,444
7,0.93,422
8,0.92,401
9,0.91,383
10,0.9,366
11,0.89,351
12,0.88,336
13,0.87,322
14,0.86,309
15,0.85,296
16,0.84,284
17,0.83,273
18,0.82,262
19,0.81,251
20,0.8,240
21,0.79,230
22,0.78,220
23,0.77,211
24,0.76,202
25,0.75,193
26,0.74,184
27,0.73,175
28,0.72,166
29,0.71,158
30,0.7,149
31,0.69,141
32,0.68,133
33,0.67,125
34,0.66,117
35,0.65,110
36,0.64,102
37,0.63,95
38,0.62,87
39,0.61,80
40,0.6,72
41,0.59,65
42,0.58,57
43,0.57,50
44,0.56,43
45,0.55,36
46,0.54,29
47,0.53,21
48,0.52,14
49,0.51,7
50,0.5,0
51,0.49,-7
52,0.48,-14
53,0.47,-21
54,0.46,-29
55,0.45,-36
56,0.44,-43
57,0.43,-50
58,0.42,-57
59,0.41,-65
60,0.4,-72
61,0.39,-80
62,0.38,-87
63,0.37,-95
64,0.36,-102
65,0.35,-110
66,0.34,-117
67,0.33,-125
68,0.32,-133
69,0.31,-141
70,0.3,-149
71,0.29,-158
72,0.28,-166
73,0.27,-175
74,0.26,-184
75,0.25,-193
76,0.24,-202
77,0.23,-211
78,0.22,-220
79,0.21,-230
80,0.2,-240
81,0.19,-251
82,0.18,-262
83,0.17,-273
84,0.16,-284
85,0.15,-296
86,0.14,-309
87,0.13,-322
88,0.12,-336
89,0.11,-351
90,0.1,-366
91,0.09,-383
92,0.08,-401
93,0.07,-422
94,0.06,-444
95,0.05,-470
96,0.04,-501
97,0.03,-538
98,0.02,-589
99,0.01,-677
100,0.0,-800
